OMDb_Title,OMDb_Director,OMDb_Gender,OMDb_Year,OMDb_Country,Spalte_voller_Unsinn,OMDb_Genre 1,OMDb_Genre 2,OMDb_Genre 3,OMDb_Language,OMDb_Runtime,IMDb_Rating,OMDb_Actors,OMDb_Ploooooooooooot,IMDb_Votes,IMDb ID
gran torino,Clint Eastwood,male,2008,,dumdidum,,,,"English, Hmong",116,8.0999999999999996,"Clint Eastwood, Bee Vang, Christopher Carley","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","760,429",tt1205489
twilight,Catherine Hardwicke,female,2008,,dumdidum,,,,English,122,5.2000000000000002,"Kristen Stewart, Robert Pattinson, Billy Burke","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","453,523",tt1099212
gomorrah,Matteo Garrone,male,2008,,dumdidum,,,,"Neapolitan, Italian, Mandarin, French",137,7,"Gianfelice Imparato, Salvatore Abbruzzese, Toni Servillo","Scampia Vele is the corbusian architecture which has become a stronghold for Mafia of Naples, Italy.","48,679",tt0929425
the reader,Stephen Daldry,male,2008,,dumdidum,,,,"English, German, Greek, Latin",124,7.5999999999999996,"Kate Winslet, Ralph Fiennes, Bruno Ganz","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.","241,634",tt0976051
wendy and lucy,Kelly Reichardt,female,2008,,dumdidum,,,,English,80,7.0999999999999996,"Michelle Williams, Lucy, David Koppell","Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart.","18,167",tt1152850
milk,Gus Van Sant,male,2008,,dumdidum,,,,English,128,7.5,"Sean Penn, Josh Brolin, Emile Hirsch",The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.,"171,435",tt1013753
in bruges,Martin McDonagh,male,2008,,dumdidum,,,,English,107,7.9000000000000004,"Colin Farrell, Brendan Gleeson, Ciarán Hinds","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","413,090",tt0780536
"synecdoche, new york",Charlie Kaufman,male,2008,,dumdidum,,,,"English, German",124,7.5,"Philip Seymour Hoffman, Samantha Morton, Michelle Williams","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.","89,997",tt0383028
cloverfield,Matt Reeves,male,2008,,dumdidum,,,,"English, Russian, French, Japanese",85,7,"Mike Vogel, Jessica Lucas, Lizzy Caplan",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"392,160",tt1060277
sita sings the blues,Nina Paley,female,2008,,dumdidum,,,,English,82,7.5999999999999996,"Annette Hanshaw, Aseem Chhabra, Bhavana Nagulapally",An animated version of the epic Indian tale of Ramayana set to the 1920s jazz vocals of Annette Hanshaw.,"4,717",tt1172203
departures,Yôjirô Takita,male,2008,,dumdidum,,,,Japanese,130,8,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki",A newly unemployed cellist takes a job preparing the dead for funerals.,"51,638",tt1069238
the wrestler,Darren Aronofsky,male,2008,,dumdidum,,,,English,109,7.9000000000000004,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","302,481",tt1125849
revolutionary road,Sam Mendes,male,2008,,dumdidum,,,,English,119,7.2999999999999998,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,"210,213",tt0959337
be kind rewind,Michel Gondry,male,2008,,dumdidum,,,,English,102,6.4000000000000004,"Jack Black, Yasiin Bey, Danny Glover","Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero...","90,990",tt0799934
medicine for melancholy,Barry Jenkins,male,2008,,dumdidum,,,,English,88,6.5999999999999996,"Wyatt Cenac, Tracey Heggins, Elizabeth Acker",Twenty-four hours in the tentative relationship of two young San Franciscans also dealing with the conundrum of being a minority in a rapidly gentrifying city.,"2,223",tt1133989
vicky cristina barcelona,Woody Allen,male,2008,,dumdidum,,,,"English, Spanish",96,7.0999999999999996,"Rebecca Hall, Scarlett Johansson, Javier Bardem","Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.","253,304",tt0497465
the wolf of wall street,Martin Scorsese,male,2013,,dumdidum,,,,"English, French",180,8.1999999999999993,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","1,335,973",tt0993846
