OMDb_Title,OMDb_Director,OMDb_Gender,OMDb_Year,OMDb_Country,Spalte_voller_Unsinn,OMDb_Genre 1,OMDb_Genre 2,OMDb_Genre 3,OMDb_Language,OMDb_Runtime,IMDb_Rating,OMDb_Actors,OMDb_Ploooooooooooot,IMDb_Votes,IMDb ID
the act of killing,"Joshua Oppenheimer, Anonymous, Christine Cynn",male,2012,"United Kingdom, Denmark, Norway",dumdidum,Documentary,Biography,Crime,"Indonesian, English",117 min,8.1999999999999993,"Anwar Congo, Herman Koto, Syamsul Arifin","A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers.",37684,tt2375605
stories we tell,Sarah Polley,female,2012,Canada,dumdidum,Documentary,,,English,108 min,7.5,"Michael Polley, John Buchan, Mark Polley",A film that excavates layers of myth and memory to find the elusive truth at the core of a family of storytellers.,13208,tt2366450
how to survive a plague,David France,male,2012,United States,dumdidum,Documentary,History,News,English,110 min,7.5999999999999996,"Peter Staley, Larry Kramer, Iris Long",The story of two coalitions -- ACT UP and TAG (Treatment Action Group) -- whose activism and innovation turned AIDS from a death sentence into a manageable condition.,4068,tt2124803
django unchained,Quentin Tarantilo,male,2012,United States,dumdidum,Drama,Western,,"English, German, French, Italian",165 min,8.4000000000000004,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",1490532,tt1853728
beasts of the southern wild,Benh Zeitlin,male,2012,United States,dumdidum,Adventure,Drama,Fantasy,English,93 min,7.2999999999999998,"Quvenzhané Wallis, Dwight Henry, Levy Easterly","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",83055,tt2125435
amour,Michael Haneke,male,2012,"Austria, France, Germany",dumdidum,Drama,,,"French, English",127 min,7.9000000000000004,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tes...",98957,tt1602620
leviathan,"Lucien Castaing-Taylor, Verena Paravel",female,2012,"United Kingdom, France, United States",dumdidum,Documentary,,,English,87 min,6.5,"Brian Jannelle, Adrian Guillette, Arthur Smith",A documentary shot in the North Atlantic and focused on the commercial fishing industry.,3504,tt2332522
lincoln,Steven Spieelberg,male,2012,"United States, India",dumdidum,Biography,Drama,History,English,150 min,7.2999999999999998,"Daniel Day-Lewis, Sally Field, David Strathairn","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",258038,tt0443272
life of pi,Ang Lee,male,2012,"United States, Taiwan, United Kingdom, Canada",dumdidum,Adventure,Drama,Fantasy,"English, Hindi, Japanese, French",127 min,7.9000000000000004,"Suraj Sharma, Irrfan Khan, Adil Hussain","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",617153,tt0454876
the hunger games,Gary Ross,male,2012,United States,dumdidum,Action,Adventure,Sci-Fi,English,142 min,7.2000000000000002,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,896681,tt1392170
